,lon,lat,angle,norm,pid_sub,pid_over,length,total_vel,vel,trench_vel,slab_vel_abs,slab_flux,slab_age,spreading_rate,slab_thickness,vratio,slab_dip,trench_ID,Name,Type,Class,density,relative_density
0,-144.65301026286477,60.38525997397134,15.250291979366883,324.0694806954771,901.0,111.0,50503.32310320212,0.0467730581025717,0.0451259908585301,-0.0155507387560808,0.0329184028759535,2753.163738900491,35.07813726544136,0.0693423827127636,61010.59913635254,0.6553928576364692,14.476309045155842,1,Aleutians,Ocean - Ocean,Accretionary,3287.341189560637,-12.658810439363151
1,-145.39116454560633,60.11668379196088,15.086412905864622,323.4286058665584,901.0,111.0,50503.32310329134,0.0472691509364392,0.0456399903259134,-0.0154856117601685,0.0334798341143269,2850.4319252572827,36.75954842475274,0.0688404874449866,62454.7004699707,0.6607008097594588,15.0474934962488,1,Aleutians,Ocean - Ocean,Accretionary,3289.10448335417,-10.895516645829957
2,-146.11728456356062,59.84406624361165,14.926825355080648,322.7998879918468,901.0,111.0,50503.32310320212,0.0477628512930553,0.0461511218752059,-0.0154195116819705,0.034039161552475,2930.526874367561,38.0,0.0698088876045184,63498.497009277344,0.6658908590853901,15.31810954309279,1,Aleutians,Ocean - Ocean,Accretionary,3290.3179028704417,-9.682097129558315
3,-146.8315236693207,59.56751676128222,14.77138228322812,322.1831768761442,901.0,111.0,50503.32310320212,0.0482541104144469,0.0466593533880104,-0.0153524426750727,0.0345963500434747,3001.4674231797007,39.0,0.0708279634506397,64327.239990234375,0.6709675218298742,17.00060147792101,1,Aleutians,Ocean - Ocean,Accretionary,3291.2466972914935,-8.753302708506453
4,-147.53404207343593,59.28714239579578,14.619943291125674,321.5783154816484,901.0,111.0,50503.32310311288,0.0487428804969103,0.0471646529281587,-0.0152844089539457,0.0351513645748083,3008.2435491898104,38.34042073435927,0.0711638820041551,63781.73828125,0.6759350911109849,15.061805292963982,1,Aleutians,Ocean - Ocean,Accretionary,3290.638714522513,-9.361285477486945
5,-148.22500597316738,59.00304778883703,14.472374264082369,320.98514079961643,901.0,111.0,50503.32310329134,0.0492291146497353,0.0476669887437248,-0.0152154147936823,0.0357041702705661,3105.266730870699,40.0,0.065241135577557,65145.015716552734,0.680797650644852,15.345145198606676,1,Aleutians,Ocean - Ocean,Accretionary,3292.134399101382,-7.8656008986181405
6,-148.90458673347774,58.7153351548338,14.328547034434074,320.4034846697881,901.0,111.0,50503.32310329134,0.0497127668567472,0.0481663292690121,-0.0151454645297242,0.0362547323936354,3143.859696068855,40.15533403188474,0.0659863168967662,65270.90072631836,0.6855590874460075,19.436575008976845,1,Aleutians,Ocean - Ocean,Accretionary,3292.2685762616425,-7.731423738357535
7,-149.57296011968748,58.42410427148426,14.188339065106472,319.83317454816114,901.0,111.0,50503.32310355903,0.0501937919404784,0.0486626431265465,-0.0150745625575959,0.0368030163478864,3324.2042501763985,44.0,0.0565494366109842,68311.21444702148,0.6902231036157509,24.694158438978523,1,Aleutians,Ocean - Ocean,Accretionary,3295.320526243917,-4.679473756083098
8,-150.20822715278652,58.128988838047725,16.129418749188467,317.208085097425,901.0,111.0,48637.786012878365,0.0506610918234103,0.0486669009868649,-0.0126473980782649,0.0392498441538684,3324.4951097856924,44.0,0.0565494366109842,68311.21444702148,0.7401232085503352,27.19932429607098,1,Aleutians,Ocean - Ocean,Accretionary,3295.320526243917,-4.679473756083098
9,-150.81109868629392,57.83040747122132,15.982375227744106,316.6969312125839,901.0,111.0,48637.786012878365,0.0511148721897627,0.049139100377409,-0.0125774657648402,0.0397733604759132,3160.9827028818063,39.0,0.076983079526921,64327.239990234375,0.7440436298540261,27.948235700527828,1,Aleutians,Ocean - Ocean,Accretionary,3291.2466972914935,-8.753302708506453
10,-151.40401650113566,57.52901430465929,15.838788917314206,316.1958696258177,901.0,111.0,48637.78601278572,0.0515662281283576,0.0496084358784987,-0.0125068004206661,0.0402945587557729,3271.778668884746,41.0,0.0576054859300494,65952.06260681152,0.7478896441867705,27.59204898709836,1,Aleutians,Ocean - Ocean,Accretionary,3292.983449239395,-7.016550760604787
11,-151.9871686165135,57.22488771707651,15.698556944402682,315.7047151968211,901.0,111.0,48637.78601260041,0.0520151188961038,0.0500748801366626,-0.0124354061642098,0.0408134086173459,3342.429099698216,42.0,0.0590481231922948,66748.61907958984,0.7516637857090906,27.73832030729814,1,Aleutians,Ocean - Ocean,Accretionary,3293.796110953992,-6.203889046008044
12,-152.56074276547014,56.91810391292647,15.561580515987016,315.22328308784864,901.0,111.0,48637.78601241511,0.0524615044652112,0.0505384059669346,-0.0123632871564191,0.0413298798214016,3413.1073834910007,43.0,0.0609627144737159,67534.9235534668,0.7553684782913814,27.2887293951852,1,Aleutians,Ocean - Ocean,Accretionary,3294.574485507425,-5.425514492575076
13,-153.1249260499322,56.6087369600177,15.427764726664694,314.75138910904377,901.0,111.0,48637.7860122298,0.0529053454979252,0.0509989863544378,-0.0122904476004811,0.0418439422673397,3483.8026934387294,44.0,0.0616087500663571,68311.21444702148,0.7590060415110257,27.21556077684675,1,Aleutians,Ocean - Ocean,Accretionary,3295.320526243917,-4.679473756083098
14,-153.679904628558,56.29685882928982,15.297018376366012,314.2888500309687,901.0,111.0,48637.78601241511,0.0533466033227985,0.0514565944559618,-0.012216891741579,0.0423555659949464,3593.419503956679,46.0,0.0642697886161281,69833.99391174316,0.7625786962634188,27.367528256915865,1,Aleutians,Ocean - Ocean,Accretionary,3296.7221148282797,-3.2778851717202997
